字號,機構名稱,負責獸醫,機構電話,機構地址
高市獸師開字第352號,吉米家動物醫院,余冠毅,07-3749925,高雄市仁武區仁勇路56之7號
高市獸師開字第318號,犢牝動物醫院,黃偉嘉,07-7353478,高雄市仁武區仁慈路109巷10號一樓
高縣獸醫開字第104號,弘晟動物醫院,黃弘,07-3456795,高雄市仁武區仁福里仁安三巷24號
高市獸師開字第333號,湖光動物醫院,翁婉瑜,07-3740919,高雄市仁武區京富路255號
高市獸師開字第313號,聯盟動物醫院,王建為,07-3740964,高雄市仁武區鳳仁路231號二樓
高縣獸醫開字第369號,吉祥動物醫院,楊哲豪,07-3712718,高雄市仁武區澄仁路257號
高縣獸醫開字第116號,歐動物醫院,歐忠正,07-6673040,高雄市內門區觀亭里中正路89巷5號
高市獸師開字第267號,悅生動物醫院,李英瑞,07-3453566,高雄市左營區大中二路260號
高市建獸醫字第114號,聖愛動物醫院,蔡東龍,07-5874211,高雄市左營區中華一路3之1號
高市獸師開字第356號,梅西動物醫院,黃明如,07-3452541,高雄市左營區文府路498號
高市獸師開字第359號,慈愛動物醫院高雄分院,劉宇祥,07-3495566,高雄市左營區文敬路123巷30號
高市建獸醫字第36號,博安動物醫院,薛博文,07-5830479,高雄市左營區左營大路732號
高市獸師開字第176號,仁集動物醫院,蔡佩璋,07-3509821,高雄市左營區民族一路1028之13號
高市獸師開字第365號,宅宅犬貓行動獸醫院,簡映婷,0927-673-332,高雄市左營區民族一路1188號三樓之5
高市獸師開字第378號,愛思動物醫院,何礎袁,07-3108803,高雄市左營區民族一路965號一樓
高市獸師開字第206號,柏正動物醫院,林軍在,07-5581411,高雄市左營區自由二路17號
高市獸佐開字第183號,勝泰動物醫院,陳渝鎧,07-5585889,高雄市左營區自由二路182號
高市獸師開字第327號,毛星球犬貓專科醫院,周明穀,07-5565166,高雄市左營區自由二路415號
高市獸佐開字第2號,正耘動物醫院,蕭文彬,07-3416166,高雄市左營區自由三路390號
高市獸師開字第202號,嘉翔動物醫院,佘家文,07-3485620,高雄市左營區自由四路35號
高市獸師開字第338號,波可動物醫院,湯皓平,07-3495560,高雄市左營區自由四路367號
高市獸師開字第304號,卡布動物醫院,林時民,07-3509921,高雄市左營區至真路8號
高市獸師開字第225號,馬汀動物醫院,楊家禎,07-5507327,高雄市左營區至聖路235號
高市獸師開字第312號,百佑動物醫院,廖志強,07-5509785,高雄市左營區辛亥路203巷3號
高市獸師開字第350號,小樹動物醫院,侯松佑,07-3412291,高雄市左營區孟子路583號
高市獸師開字第355號,窩心動物醫院,周天凱,07-5508408,高雄市左營區忠言路117號
高市建獸醫字第120號,百祥動物醫院,鄭寶桂,07-5585391,高雄市左營區明誠二路204號
高市獸師開字第268號,宇恩動物醫院,顏良澤,07-5880252,高雄市左營區城峰路68號
高市獸師開字第247號,心心動物診所,蕭序諺,07-5563972,高雄市左營區博愛二路202號
高市獸師開字第220號,樂生動物醫院,鍾湘琳,07-3450202,高雄市左營區曾子路79號
高市獸師開字第230號,維康動物醫院,洪明仁,07-3480208,高雄市左營區新庄仔路233之4號
高市獸師開字第184號,米恩動物醫院,余偉智,07-5565491,高雄市左營區新庄仔路556號
高縣獸醫開字第211號,奕良家畜醫院,余慶林,07-3410627,高雄市左營區新莊一路183號
高市獸師開字第248號,捷飛達動物醫院,陳俊傑,07-3463666,高雄市左營區榮總路396號
高市獸師開字第357號,岡山德民動物醫院,黃復洲,07-6210045,高雄市岡山區大仁北路240號
高市獸師開字第283號,大眾動物醫院,陳鴻文,07-6255802,高雄市岡山區大義二路72號
高縣獸醫開字第242號,合美動物醫院,陳子苗,07-6270699,高雄市岡山區中華路13之5號
高市獸師開字第289號,弘苑獸醫院,梅念祖,07-6259310,高雄市岡山區介壽西路129號
高縣獸醫開字第82號,安生動物醫院,黃鴻璋,07-6266543,高雄市岡山區公園西路二段140號
高縣獸醫開字第32號,福壽家畜醫院,鄭賢義,07-6262959,高雄市岡山區正言街68號
高縣獸醫開字第48號,家福動物醫院,蔡啟琳,07-6218255,高雄市岡山區岡山路612之25號
高市獸師開字第374號,聯盟岡燕動物醫院,翁興民,07-6257995,高雄市岡山區岡燕路608之1號
高市獸師開字第266號,博仁動物醫院,王藏毅,07-6250777,高雄市岡山區公園西路三段92號
高縣獸醫開字第45號,大豐獸醫院,陳石城,07-6227148,高雄市岡山區後興北路3號
高市獸師開字第320號,馬來貘動物醫院,蘇煜倫,07-6250265,高雄市岡山區柳橋西路108之1號
高縣獸醫開字第62號,新國太動物診所,李水蓮,07-6262849,高雄市岡山區柳橋西路22之2號
高市獸師開字第300號,榆琁動物醫院,莊國偉,0911-743-523,高雄市林園區和平路66巷6號
高市獸師開字第351號,星羽動物醫院,郭奕成,07-6413808,高雄市林園區東林西路487號
高縣獸醫開字第159號,林園動物醫院,李順清,07-6422679,高雄市林園區林園北路434號
高縣獸醫開字第351號,東林動物醫院,楊清文,07-7829709,高雄市林園區鳳林路一段200號
高縣獸醫開字第277號,元碩動物醫院,陳財寶,07-6311831,高雄市阿蓮區中山路235號
高市獸師開字第345號,微笑高壓氧動物醫院,蔡畯吉,07-2857677,高雄市前金區七賢二路214號
高市建獸醫字第134號,銀星動物醫院,郭建男,07-2914478,高雄市前金區成功一路319號
高市建獸醫字第55號,東海動物醫院,李東瀛,07-2510993,高雄市前金區成功一路367號
高市建獸醫字第16號,現代動物醫院,謝文益,07-2817015,高雄市前金區自強二路41號
高市獸師開字第380號,韓特動物醫院,周易徵,07-2152577,高雄市前金區自強三路211號
高市獸師開字第240號,健生動物醫院,唐志煌,07-3351487,高雄市前鎮區一心一路275號
高市獸師開字第369號,本丸特殊寵物與貓專科醫院,池陽廣,07-7211089,高雄市前鎮區永豐路105號一樓
高市建獸醫字第139號,吉生動物醫院,林耀崇,07-7253546,高雄市前鎮區永豐路92號
高市獸師開字第87號,國華動物醫院,林鴻國,07-7225799,高雄市前鎮區和平二路36號
高市獸師開字第159號,天仁動物醫院,蔡宗諺,07-8410318,高雄市前鎮區草衙一路17號
高市建獸醫字第118號,草衙動物醫院,黃斯文,07-8152753,高雄市前鎮區草衙二路497號
高市獸師開字第331號,康禾動物醫院,劉大弘,07-3348808,高雄市前鎮區復興三路313號一、二樓
高市獸師開字第379號,依沐動物醫院,鄭家卉,07-8114023,高雄市前鎮區瑞日街2號二、三樓
高市獸師開字第200號,登羣動物醫院,林昇全,07-7276739,高雄市前鎮區瑞隆路228號
高市獸師開字第360號,莫莉動物醫院,莫康銘,07-7161065,高雄市前鎮區瑞興街80號
高市建獸醫字第51號,世和動物醫院,周繼光,07-3339009,高雄市前鎮區廣西路421號
高市獸師開字第316號,強森動物醫院,陳國明,07-5365679,高雄市前鎮區鄭和南路412號
高市獸師開字第311號,美濃中壇獸醫院,黃華雲,0928-420-260,高雄市美濃區復興街一段12號
高市建獸醫字第50號,高生動物醫院,周進富,07-7116899,高雄市苓雅區三多一路287號
高市建獸醫字第98號,大順動物醫院,李文衡,07-7529642,高雄市苓雅區大順三路230號
高市獸師開字第295號,烏鐸動物醫院,張桂銘,07-7220804,高雄市苓雅區中正一路139、141號
高市建獸醫字第143號,冠安動物醫院,莊寶華,07-2236451,高雄市苓雅區中正二路131之1號
高市建獸醫字第4號,華南動物醫院,許進風,07-3338788,高雄市苓雅區中華四路163號
高市建獸醫字第26號,躍犬動物醫院,陳本源,07-3317313,高雄市苓雅區中華四路210號
高市獸師開字第361號,樂蹦動物醫院,李佳芳,07-3343088,高雄市苓雅區中華四路26、26之1號
高市建獸醫字第80號,興昌動物醫院,吳昭興,07-7117113,高雄市苓雅區四維二路46之1號
高市獸師開字第363號,喬治亞動物醫院,宋孟河,07-7715270,高雄市苓雅區四維二路96之3號
高市建獸醫字第43號,啟生動物醫院,陳明聰,07-3343668,高雄市苓雅區光華一路119號
高市獸師開字第215號,亞幸動物醫院,周明賢,07-7265577,高雄市苓雅區光華一路12之1號
高市獸師開字第375號,加州動物醫院,曾立權,07-7163027,高雄市苓雅區光華一路134號
高市獸師開字第278號,三和台大動物醫院,梁明宗,07-3383828,高雄市苓雅區光華一路23號
高市獸師開字第274號,勝杰動物醫院,杜杰憲,07-2696635,高雄市苓雅區成功一路163號
高市獸師開字第149號,忠信動物醫院,高振庸,07-7225766,高雄市苓雅區和平一路149之13號
高市建獸醫字第63號,仁仁動物醫院,余智勇,07-7215778,高雄市苓雅區和平二路367號
高市建獸醫字第91號,上揚動物醫院,蔡宗分,07-3391010,高雄市苓雅區林森二路7之2號
高市建獸醫字第60號,和平動物醫院,施孟良,07-7253347,高雄市苓雅區和平一路60號
高市獸佐開字第1號,成功動物醫院,郭秀傑,07-7152225,高雄市苓雅區武廟路155號
高市獸師開字第306號,恩澤動物醫院,王亭越,07-7239587,高雄市苓雅區武廟路160之2號
高市獸師開字第272號,德洲動物醫院,郭權德,07-2231466,高雄市苓雅區金門街84號
高市獸師開字第362號,窩窩兔動物醫院,吳靜綺,07-7130300,高雄市苓雅區建民路67號
高市建獸醫字第61號,耀宏家畜醫院,葉輝耀,07-7277999,高雄市苓雅區建國一路139之6號
高市獸師開字第371號,聯盟建國動物醫院,張凱鈞,07-9763865,高雄市苓雅區建國一路193、195號
高市建獸醫字第65號,健安動物醫院,趙士雄,07-7238269,高雄市苓雅區建國一路270號
高市獸師開字第368號,喵樂TNR動物醫院,蔡旻珊,07-7221090,高雄市苓雅區建國一路72巷41號
高市建獸醫字第115號,愛心動物醫院,張簡明芳,07-7156399,高雄市苓雅區建國一路74之3號
高市獸師開字第263號,柏林動物醫院,黃勝聰,07-5366010,高雄市苓雅區苓雅一路31號一、二樓
高市獸師開字第288號,方濟動物醫院,葉毓凱,07-3340721,高雄市苓雅區復興二路13之3號
高市獸師開字第180號,復興動物醫院,王斐正,07-3384507,高雄市苓雅區復興二路148號
高市獸師開字第337號,愛沛動物醫院,吳沛霖,07-3333819,高雄市苓雅區復興二路17之2號
高市獸師開字第373號,長門動物醫院,陳俊有,07-7222447,高雄市苓雅區福德二路73號
高市獸師開字第261號,樂活動物醫院,陳秋妹,07-7213377,高雄市苓雅區福德三路157號
高市獸師開字第305號,一嘉動物醫院,莊嘉泰,07-3318123,高雄市苓雅區興中一路383號
高市獸師開字第258號,景億動物醫院,康景億,07-6101704,高雄市梓官區赤崁南路136號
高市獸師開字第255號,加康動物醫院,向恆逸,07-3860506,高雄市鳥松區大昌路563號
高市獸佐開字第57號,湖內國泰動物醫院,謝哲雄,07-6936155,高雄市湖內區中山路一段420巷2之1號
高市建獸醫字第122號,立康動物醫院,蔡逸華,07-2353057,高雄市新興區七賢一路262號
高市獸師開字第175號,弘恩動物醫院,鄭景文,07-2151123,高雄市新興區五福二路152號一樓
高市建獸醫字第64號,人愛動物醫院,劉隆揚,07-2371276,高雄市新興區六合一路28、30號
高市建獸醫字第7號,萬祥犬專科醫院,邱子鈴,07-2274387,高雄市新興區民生一路196號
高市獸師開字第340號,史密斯寵物醫院,林宥先,07-2226565,高雄市新興區民生一路199號
高市建獸醫字第10號,吉盈動物醫院,陳靖艾,07-2267559,高雄市新興區民生一路34號
高市獸師開字第348號,杜莉德動物醫院,李明峰,07-2231295,高雄市新興區和平一路295號
高市建獸醫字第62號,長和動物醫院,黃埼祥,07-2613930,高雄市新興區忠孝一路245號
高市建獸醫字第85號,弘祥動物醫院,謝文清,07-2151416,高雄市新興區復橫一路229號
高市獸師開字第343號,德克動物醫院,邱漢洲,07-2350520,高雄市新興區復興一路107之6號
高市建獸醫字第106號,宏泰動物醫院,劉昱汝,07-2367706,高雄市新興區開封路301巷2號
高市獸師開字第150號,回生動物醫院,吳建興,07-2720688,高雄市新興區新田路39號
高市獸師開字第238號,莒光動物醫院,郭俊文,07-3640207,高雄市楠梓區加昌路849、851號
高市獸師開字第242號,十銓動物醫院,金昇輝,0968-597-663,高雄市楠梓區右昌街787號
高市建獸醫字第124號,偉源動物醫院,黃偉哲,07-3649336,高雄市楠梓區後昌路1048號
高市獸師開字第209號,寵愛動物醫院,葉俊益,07-3661333,高雄市楠梓區後勁西路236號
高市獸師開字第270號,永欣動物醫院,吳俊男,07-3608778,高雄市楠梓區軍校路724號
高市獸師開字第262號,德民動物醫院,黃懷瑩,07-3642642,高雄市楠梓區海專路245號
高市獸師開字第161號,勇翔動物醫院,劉勇麟,07-3514242,高雄市楠梓區常德路308號
高市獸師開字第281號,文心動物醫院,周淑平,07-3611990,高雄市楠梓區惠民路153號
高市獸師開字第148號,佑康動物醫院,周建光,07-3540645,高雄市楠梓區楠梓路71號
高市獸師開字第346號,聯盟旗楠動物醫院,林佑儒,07-3535918,高雄市楠梓區旗楠路106號
高市獸佐開字第58號,清豐動物醫院,吳進清,07-3535711,高雄市楠梓區鳳楠路259號
高市獸師開字第249號,佳醫動物醫院,陳文淯,07-3630080,高雄市楠梓區德民路970號
高市獸師開字第344號,底佳動物醫院,潘香妃,07-3658891,高雄市楠梓區德賢路220巷31號
高縣獸醫開字第129號,路竹動物醫院,郭振明,07-6960771,高雄市路竹區中山路468號
高市建獸醫字第93號,聖佳動物醫院,張聖蒂,07-5875727,高雄市鼓山區九如四路1119號
高市獸師開字第233號,寶貝動物醫院,黃朝慶,07-5888268,高雄市鼓山區九如四路1175號
高市建獸醫字第102號,嘉仁動物醫院,王俊益,07-5876094,高雄市鼓山區九如四路1658號
高市獸師開字第259號,中興農十六動物醫院,古峰豪,07-5503532,高雄市鼓山區大順一路935號
高市獸師開字第213號,宏仁動物醫院,許恭峻,07-5877588,高雄市鼓山區中華一路2號
高市獸師開字第227號,博聯動物醫院,梁碩麟,07-5229169,高雄市鼓山區中華一路350號
高市獸師開字第252號,富恩動物醫院,簡世鑫,07-5502881,高雄市鼓山區文信路317號
高市獸師開字第370號,美術德民動物醫院,胡懷中,07-5528487,高雄市鼓山區美術東四路32號
高市獸師開字第328號,謝妮妮動物醫院,曾富翊,07-5522986,高雄市鼓山區華榮路209號
高市獸師開字第152號,大揚動物醫院,李連洲,07-5521133,高雄市鼓山區華榮路240之6號
高市獸師開字第309號,小新動物醫院,鍾耀宗,07-5539525,高雄市鼓山區華榮路621號
高市獸佐開字第59號,永馨動物醫院,陳淑萍,07-5555909,高雄市鼓山區瑞豐街137號
高市獸師開字第335號,遇見貓專科醫院,陳怡銓,07-5222800,高雄市鼓山區裕誠路2022號
高市獸佐開字第52號,長庚家畜醫院,林忠勇,07-5318288,高雄市鼓山區鼓山一路31之2號
高縣獸醫開字第76號,安安動物醫院,林進安,07-6623175,高雄市旗山區延平一路268號
高縣獸醫開字第364號,旺旺動物醫院,王琇賢,07-6611100,高雄市旗山區延平一路351號
高縣獸醫開字第329號,世康動物醫院,施清文,07-7767606,高雄市鳳山區八德路129號
高縣獸醫開字第340號,高民動物醫院,池玠緣,07-7991388,高雄市鳳山區中山西路217之1號
高縣獸醫開字第75號,育千動物醫院,陳建宏,07-7418775,高雄市鳳山區中山西路255號
高市獸師開字第287號,馬達加斯加動物醫院,沈益成,07-7191230,高雄市鳳山區中山東路105號
高縣獸醫開字第121號,中山動物醫院,高達聰,07-7192161,高雄市鳳山區中山路41號
高縣獸醫開字第27號,宏仁家畜醫院,黃瓊誼,07-7464215,高雄市鳳山區五甲一路220號
高縣獸醫開字第36號,凡賽爾動物醫院,陳正祐,07-7613995,高雄市鳳山區五甲二路399號
高市獸師開字第332號,華興動物醫院,孫偉峻,07-8316400,高雄市鳳山區五甲二路606號
高市獸師開字第210號,吉貝爾動物醫院,黃威霖,07-7688839,高雄市鳳山區五常街44號
高市獸師開字第273號,肯亞動物醫院,謝智龍,07-7105150,高雄市鳳山區光復路一段26號
高縣獸醫開字第46號,中心動物醫院,黃恭喜,07-7452889,高雄市鳳山區光遠路262號
高市獸師開字第381號,惠康動物醫院,林名鎮,07-7190092,高雄市鳳山區光遠路28號一、二樓
高市獸師開字第384號,朵恩動物醫院,董育廷,07-7911517,高雄市鳳山區和成路432號一、二樓
高市獸師開字第236號,高雄市動物保護處,葉坤松,07-7462368,高雄市鳳山區忠義街166號
高縣獸醫開字第379號,安心動物醫院,吳忠憲,07-7275266,高雄市鳳山區武慶二路74號
高縣獸醫開字第304號,安華動物醫院,盧佳宏,07-7670330,高雄市鳳山區青年路二段580號
高縣獸醫開字第224號,仁愛動物醫院,陳文山,07-7715240,高雄市鳳山區保泰路258號
高市獸師開字第358號,培昱動物醫院,陳子諺,07-8418289,高雄市鳳山區保泰路6號
高縣獸醫開字第350號,全宏動物醫院,周岳宏,07-7928275,高雄市鳳山區南華一路85號
高縣獸醫開字第91號,聯強動物醫院,周耕仰,07-7650698,高雄市鳳山區南福街200號
高市獸師開字第324號,米可伴侶動物醫院,陳素玲,07-7801738,高雄市鳳山區建國路三段57號
高市獸佐開字第56號,永安動物醫院,陳宏明,07-7766337,高雄市鳳山區建國路三段90號
高市獸師開字第376號,崴恩貓專科醫院,黃凱鴻,07-7036520,高雄市鳳山區埤北路205號
高縣獸醫開字第299號,希望動物醫院,馮建中,07-7537300,高雄市鳳山區凱旋路100號
高市獸師開字第282號,昱康動物醫院,劉昱顯,07-7107977,高雄市鳳山區博愛路107號
高縣獸醫開字第282號,泰安動物醫院,周明慶,07-7529529,高雄市鳳山區瑞隆東路266號
高縣獸醫開字第35號,立和動物醫院,易巧笛,07-7423811,高雄市鳳山區維新路153號
高市獸師開字第314號,欣民動物醫院,連治明,07-7659787,高雄市鳳山區瑞隆東路25號
高市獸師開字第296號,博新動物醫院,黃士彥,07-7409909,高雄市鳳山區瑞順街147號一樓
高縣獸醫開字第317號,大興動物醫院,楊秋興,07-7464183,高雄市鳳山區經武路135號
高縣獸醫開字第378號,名冠動物醫院,王冠智,07-7191177,高雄市鳳山區經武路191號
高市獸師開字第279號,吉安動物醫院,許季芬,07-7478829,高雄市鳳山區經武路346號
高市獸師開字第297號,樂樂動物醫院,汪鴻展,07-7927771,高雄市鳳山區過勇路198號
高縣獸醫開字第28號,五甲動物醫院,陳文宏,07-7714094,高雄市鳳山區鳳南路197號
高市獸師開字第347號,以恩動物醫院,吳秉奐,07-6143650,高雄市燕巢區中民路627號
高縣獸醫開字第87號,國民動物醫院,鄭國民,07-6161181,高雄市燕巢區西燕里興隆巷12號
高市獸師開字第290號,佳園動物醫院,陳穗平,07-6106899,高雄市彌陀區中正路14號
